기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,아파트_평균_면적,아파트_평균_시가
2020,2,R,전통시장,1001444,상도전통시장,18,134,69,3,2,,33,90,73,12,,,,56,181107554
2020,1,R,전통시장,1001444,상도전통시장,18,134,69,3,2,,33,90,73,12,,,,56,181107554
2020,2,R,전통시장,1001443,강남시장_동작,1,65,5,,,,68,2,,,,,,49,71085714
2020,1,R,전통시장,1001443,강남시장_동작,1,65,5,,,,68,2,,,,,,49,71085714
2020,2,R,전통시장,1001441,본동인정시장,1,3,31,1,,,,,,,8,26,1,86,525000000
2020,1,R,전통시장,1001441,본동인정시장,1,3,31,1,,,,,,,8,26,1,86,525000000
2020,2,R,전통시장,1001440,노량진중앙시장,1,2,2,,,3,,4,,1,1,,1,147,299142857
2020,1,R,전통시장,1001440,노량진중앙시장,1,2,2,,,3,,4,,1,1,,1,147,299142857
2020,2,R,전통시장,1001439,대림중앙시장,3,10,8,,,,5,13,,,,,,54,121966667
2020,1,R,전통시장,1001439,대림중앙시장,3,10,8,,,,5,13,,,,,,54,121966667
2020,2,R,전통시장,1001437,영진시장A동,1,49,220,109,,,10,44,,,,21,303,88,585308360
2020,1,R,전통시장,1001437,영진시장A동,1,49,220,109,,,10,44,,,,21,303,88,585308360
2020,2,R,전통시장,1001435,대신시장,1,1,68,7,3,,1,68,10,,,,,91,178866546
2020,1,R,전통시장,1001435,대신시장,1,1,68,7,3,,1,68,10,,,,,91,178866546
2020,2,R,전통시장,1001433,영일시장,3,130,60,,,,21,3,46,120,,,,54,264567730
2020,1,R,전통시장,1001433,영일시장,3,130,60,,,,21,3,46,120,,,,54,264567730
2020,2,R,전통시장,1001431,영등포청과시장,3,28,,,,,,20,8,,,,,29,183000000
2020,1,R,전통시장,1001431,영등포청과시장,3,28,,,,,,20,8,,,,,29,183000000
2020,2,R,전통시장,1001430,영등포전통시장,4,16,63,,,,9,69,1,,,,,65,154166369
2020,1,R,전통시장,1001430,영등포전통시장,4,16,63,,,,9,69,1,,,,,65,154166369
2020,2,R,전통시장,1001429,은행나무시장,8,65,22,,,,,77,10,,,,,54,146750000
2020,1,R,전통시장,1001429,은행나무시장,8,65,22,,,,,77,10,,,,,54,146750000
2020,2,R,전통시장,1001428,박미시장,3,30,15,,,,,45,,,,,,59,148171296
2020,1,R,전통시장,1001428,박미시장,3,30,15,,,,,45,,,,,,59,148171296
2020,2,R,전통시장,1001427,현대시장,18,244,18,,,,136,120,6,,,,,47,133887709
2020,1,R,전통시장,1001427,현대시장,18,244,18,,,,136,120,6,,,,,47,133887709
2020,2,R,전통시장,1001425,푸른터시장,2,56,86,1,,,,28,115,,,,,76,205074278
2020,1,R,전통시장,1001425,푸른터시장,2,56,86,1,,,,28,115,,,,,76,205074278
2020,2,R,전통시장,1001424,남문시장,24,241,32,,,,24,247,2,,,,,50,140069530
2020,1,R,전통시장,1001424,남문시장,24,241,32,,,,24,247,2,,,,,50,140069530
2020,2,R,전통시장,1001421,개봉중앙시장,14,96,26,,,,24,90,8,,,,,54,133701577
2020,1,R,전통시장,1001421,개봉중앙시장,14,96,26,,,,24,90,8,,,,,54,133701577
2020,2,R,전통시장,1001420,고척근린시장,2,83,6,,,,1,84,4,,,,,39,135912618
2020,1,R,전통시장,1001420,고척근린시장,2,83,6,,,,1,84,4,,,,,39,135912618
2020,2,R,전통시장,1001419,가리봉시장,2,,,,,4,,,,,,1,3,267,817000000
2020,1,R,전통시장,1001419,가리봉시장,2,,,,,4,,,,,,1,3,267,817000000
2020,2,R,전통시장,1001418,남구로시장,11,54,1,,,,39,16,,,,,,48,93859848
2020,1,R,전통시장,1001418,남구로시장,11,54,1,,,,39,16,,,,,,48,93859848
2020,2,R,전통시장,1001417,구로시장,1,9,,,,,,9,,,,,,46,113555556
2020,1,R,전통시장,1001417,구로시장,1,9,,,,,,9,,,,,,46,113555556
2020,2,R,전통시장,1001415,방신전통시장,2,10,101,,,,9,1,87,14,,,,63,239418555
2020,1,R,전통시장,1001415,방신전통시장,2,10,101,,,,9,1,87,14,,,,63,239418555
2020,2,R,전통시장,1001414,송화골목시장,8,93,17,,,,17,83,10,,,,,47,140120196
2020,1,R,전통시장,1001414,송화골목시장,8,93,17,,,,17,83,10,,,,,47,140120196
2020,2,R,전통시장,1001413,까치산시장,29,269,30,,,,44,219,28,8,,,,48,133673421
2020,1,R,전통시장,1001413,까치산시장,29,269,30,,,,44,219,28,8,,,,48,133673421
2020,2,R,전통시장,1001412,화곡본동시장,12,104,13,1,,,49,60,9,,,,,50,120212126
2020,1,R,전통시장,1001412,화곡본동시장,12,104,13,1,,,49,60,9,,,,,50,120212126
2020,2,R,전통시장,1001411,남부골목시장,28,263,46,,,,27,247,35,,,,,52,143394086
2020,1,R,전통시장,1001411,남부골목시장,28,263,46,,,,27,247,35,,,,,52,143394086
2020,2,R,전통시장,1001409,화곡중앙골목시장,26,219,22,,,,50,191,,,,,,49,113747772
2020,1,R,전통시장,1001409,화곡중앙골목시장,26,219,22,,,,50,191,,,,,,49,113747772
2020,2,R,전통시장,1001405,신정2동골목시장,4,51,4,,,,,26,29,,,,,50,207772556
2020,1,R,전통시장,1001405,신정2동골목시장,4,51,4,,,,,26,29,,,,,50,207772556
2020,2,R,전통시장,1001403,신월7동골목시장,3,40,1,,,,12,29,,,,,,49,130690000
2020,1,R,전통시장,1001403,신월7동골목시장,3,40,1,,,,12,29,,,,,,49,130690000
2020,2,R,전통시장,1001400,신월3동골목시장,1,6,,,,,6,,,,,,,35,61833333
2020,1,R,전통시장,1001400,신월3동골목시장,1,6,,,,,6,,,,,,,35,61833333
2020,2,R,전통시장,1001399,경창시장,5,50,42,6,,,12,61,25,,,,,66,152726642
2020,1,R,전통시장,1001399,경창시장,5,50,42,6,,,12,61,25,,,,,66,152726642
2020,2,R,전통시장,1001398,월정로시장,24,231,64,,1,,89,162,45,,,,,51,109753584
2020,1,R,전통시장,1001398,월정로시장,24,231,64,,1,,89,162,45,,,,,51,109753584
2020,2,R,전통시장,1001397,신영시장,13,107,27,,,,50,84,,,,,,52,115788199
2020,1,R,전통시장,1001397,신영시장,13,107,27,,,,50,84,,,,,,52,115788199
2020,2,R,전통시장,1001396,목4동시장,24,141,105,2,,,19,155,30,44,,,,58,171280260
2020,1,R,전통시장,1001396,목4동시장,24,141,105,2,,,19,155,30,44,,,,58,171280260
2020,2,R,전통시장,1001395,목3동시장,13,179,79,21,1,,59,102,25,94,,,,49,185909130
2020,1,R,전통시장,1001395,목3동시장,13,179,79,21,1,,59,102,25,94,,,,49,185909130
2020,2,R,전통시장,1001394,목2동시장,21,380,26,1,6,,133,223,51,6,,,,48,170220147
2020,1,R,전통시장,1001394,목2동시장,21,380,26,1,6,,133,223,51,6,,,,48,170220147
2020,2,R,전통시장,1001391,망원월드컵시장,24,198,7,4,,,31,100,68,10,,,,48,173992934
2020,1,R,전통시장,1001391,망원월드컵시장,24,198,7,4,,,31,100,68,10,,,,48,173992934
2020,2,R,전통시장,1001390,망원시장,50,378,95,,,,12,212,242,7,,,,51,194819930
2020,1,R,전통시장,1001390,망원시장,50,378,95,,,,12,212,242,7,,,,51,194819930
2020,2,R,전통시장,1001389,합정시장,1,20,20,,,,,,36,4,,,,64,266275000
2020,1,R,전통시장,1001389,합정시장,1,20,20,,,,,,36,4,,,,64,266275000
2020,2,R,전통시장,1001388,영진시장,3,65,11,,,,,48,28,,,,,57,228298958
2020,1,R,전통시장,1001388,영진시장,3,65,11,,,,,48,28,,,,,57,228298958
2020,2,R,전통시장,1001386,신수시장,2,15,,,,,,6,9,,,,,41,194535714
2020,1,R,전통시장,1001386,신수시장,2,15,,,,,,6,9,,,,,41,194535714
2020,2,R,전통시장,1001385,아현시장,3,6,7,,,,,3,10,,,,,59,211638889
2020,1,R,전통시장,1001385,아현시장,3,6,7,,,,,3,10,,,,,59,211638889
2020,2,R,전통시장,1001382,백련시장,1,64,,,,,,64,,,,,,55,160031250
2020,1,R,전통시장,1001382,백련시장,1,64,,,,,,64,,,,,,55,160031250
2020,2,R,전통시장,1001381,모래내시장,11,88,76,,2,,52,22,38,6,,6,42,62,242563004
2020,1,R,전통시장,1001381,모래내시장,11,88,76,,2,,52,22,38,6,,6,42,62,242563004
2020,2,R,전통시장,1001380,포방터시장,7,32,,,,,11,21,,,,,,54,112071769
2020,1,R,전통시장,1001380,포방터시장,7,32,,,,,11,21,,,,,,54,112071769
2020,2,R,전통시장,1001379,인왕시장,1,4,36,,,,,37,3,,,,,72,183325000
2020,1,R,전통시장,1001379,인왕시장,1,4,36,,,,,37,3,,,,,72,183325000
2020,2,R,전통시장,1001377,영천시장,3,22,1,,,,7,15,1,,,,,35,112050794
2020,1,R,전통시장,1001377,영천시장,3,22,1,,,,7,15,1,,,,,35,112050794
2020,2,R,전통시장,1001375,증산종합시장,3,18,17,,,,2,22,11,,,,,64,147498611
2020,1,R,전통시장,1001375,증산종합시장,3,18,17,,,,2,22,11,,,,,64,147498611
2020,2,R,전통시장,1001374,대림골목시장,8,56,9,,,,16,47,2,,,,,48,124840625
2020,1,R,전통시장,1001374,대림골목시장,8,56,9,,,,16,47,2,,,,,48,124840625
2020,2,R,전통시장,1001373,신응암시장,2,26,,,,,,8,18,,,,,50,205500000
2020,1,R,전통시장,1001373,신응암시장,2,26,,,,,,8,18,,,,,50,205500000
2020,2,R,전통시장,1001371,대조시장,16,142,11,,,,38,74,41,,,,,46,134893284
2020,1,R,전통시장,1001371,대조시장,16,142,11,,,,38,74,41,,,,,46,134893284
2020,2,R,전통시장,1001368,연서시장,1,,36,33,,,,,38,31,,,,100,316376812
2020,1,R,전통시장,1001368,연서시장,1,,36,33,,,,,38,31,,,,100,316376812
2020,2,R,전통시장,1001367,상계중앙시장,20,132,22,42,74,8,46,100,8,49,67,8,,56,135646240
2020,1,R,전통시장,1001367,상계중앙시장,20,132,22,42,74,8,46,100,8,49,67,8,,56,135646240
2020,2,R,전통시장,1001365,공릉동도깨비시장,23,215,68,1,,,63,150,70,1,,,,52,146987162
2020,1,R,전통시장,1001365,공릉동도깨비시장,23,215,68,1,,,63,150,70,1,,,,52,146987162
2020,2,R,전통시장,1001364,방학동도깨비시장,11,87,11,,,,72,24,2,,,,,47,91337973
2020,1,R,전통시장,1001364,방학동도깨비시장,11,87,11,,,,72,24,2,,,,,47,91337973
2020,2,R,전통시장,1001363,쌍문역골목시장,6,33,11,,,,13,31,,,,,,55,121724537
2020,1,R,전통시장,1001363,쌍문역골목시장,6,33,11,,,,13,31,,,,,,55,121724537
2020,2,R,전통시장,1001362,백운시장,8,73,4,,,,34,42,1,,,,,49,116112580
2020,1,R,전통시장,1001362,백운시장,8,73,4,,,,34,42,1,,,,,49,116112580
2020,2,R,전통시장,1001361,신도봉시장,3,25,,,,,25,,,,,,,42,73560714
2020,1,R,전통시장,1001361,신도봉시장,3,25,,,,,25,,,,,,,42,73560714
2020,2,R,전통시장,1001360,창동골목시장,8,56,,,,,10,46,,,,,,46,119664583
2020,1,R,전통시장,1001360,창동골목시장,8,56,,,,,10,46,,,,,,46,119664583
2020,2,R,전통시장,1001359,창동신창시장,47,470,56,4,,,110,415,5,,,,,52,136439056
2020,1,R,전통시장,1001359,창동신창시장,47,470,56,4,,,110,415,5,,,,,52,136439056
2020,2,R,전통시장,1001358,수유북부시장,1,2,21,1,,,,23,1,,,,,81,148000000
2020,1,R,전통시장,1001358,수유북부시장,1,2,21,1,,,,23,1,,,,,81,148000000
2020,2,R,전통시장,1001357,장미원골목시장,40,367,17,,,,44,327,13,,,,,49,138173425
2020,1,R,전통시장,1001357,장미원골목시장,40,367,17,,,,44,327,13,,,,,49,138173425
2020,2,R,전통시장,1001356,수유중앙시장,2,7,5,,,,3,9,,,,,,55,108750000
2020,1,R,전통시장,1001356,수유중앙시장,2,7,5,,,,3,9,,,,,,55,108750000
2020,2,R,전통시장,1001355,강북종합시장,7,49,9,,,,11,45,2,,,,,48,122968074
2020,1,R,전통시장,1001355,강북종합시장,7,49,9,,,,11,45,2,,,,,48,122968074
2020,2,R,전통시장,1001354,우이시장,36,333,22,,,,93,262,,,,,,49,116487876
2020,1,R,전통시장,1001354,우이시장,36,333,22,,,,93,262,,,,,,49,116487876
2020,2,R,전통시장,1001353,수유전통시장,3,21,64,16,,,13,8,71,9,,,,61,157212176
2020,1,R,전통시장,1001353,수유전통시장,3,21,64,16,,,13,8,71,9,,,,61,157212176
2020,2,R,전통시장,1001352,번동북부골목시장,8,76,115,,,,18,72,2,99,,,,56,169478765
2020,1,R,전통시장,1001352,번동북부골목시장,8,76,115,,,,18,72,2,99,,,,56,169478765
2020,2,R,전통시장,1001350,숭인시장,2,34,,,,,,34,,,,,,41,155484375
2020,1,R,전통시장,1001350,숭인시장,2,34,,,,,,34,,,,,,41,155484375
2020,2,R,전통시장,1001349,방천골목시장,4,29,1,,,,8,14,8,,,,,44,141642045
2020,1,R,전통시장,1001349,방천골목시장,4,29,1,,,,8,14,8,,,,,44,141642045
2020,2,R,전통시장,1001347,석관황금시장,5,46,,,,,,40,6,,,,,45,155293333
2020,1,R,전통시장,1001347,석관황금시장,5,46,,,,,,40,6,,,,,45,155293333
2020,2,R,전통시장,1001345,새석관시장,1,41,,,,,41,,,,,,,37,22819512
2020,1,R,전통시장,1001345,새석관시장,1,41,,,,,41,,,,,,,37,22819512
2020,2,R,전통시장,1001343,장위전통시장,5,30,15,5,1,,1,38,12,,,,,66,167111111
2020,1,R,전통시장,1001343,장위전통시장,5,30,15,5,1,,1,38,12,,,,,66,167111111
2020,2,R,전통시장,1001342,밤나무골시장,2,23,,,,,23,,,,,,,51,71711538
2020,1,R,전통시장,1001342,밤나무골시장,2,23,,,,,23,,,,,,,51,71711538
2020,2,R,전통시장,1001340,정릉시장,30,325,33,,,,40,260,58,,,,,51,155465885
2020,1,R,전통시장,1001340,정릉시장,30,325,33,,,,40,260,58,,,,,51,155465885
2020,2,R,전통시장,1001339,정릉아리랑시장,9,95,132,29,,,20,37,18,152,29,,,55,192902888
2020,1,R,전통시장,1001339,정릉아리랑시장,9,95,132,29,,,20,37,18,152,29,,,55,192902888
2020,2,R,전통시장,1001337,유영시장,2,11,3,,,,1,5,8,,,,,60,180075000
2020,1,R,전통시장,1001337,유영시장,2,11,3,,,,1,5,8,,,,,60,180075000
2020,2,R,전통시장,1001336,우림골목시장,19,182,42,,,,39,183,2,,,,,54,130929772
2020,1,R,전통시장,1001336,우림골목시장,19,182,42,,,,39,183,2,,,,,54,130929772
2020,2,R,전통시장,1001335,묵1동도깨비시장,17,133,34,,,,45,111,11,,,,,48,130566556
2020,1,R,전통시장,1001335,묵1동도깨비시장,17,133,34,,,,45,111,11,,,,,48,130566556
2020,2,R,전통시장,1001334,태능시장,4,24,114,,,,2,35,101,,,,,64,175721752
2020,1,R,전통시장,1001334,태능시장,4,24,114,,,,2,35,101,,,,,64,175721752
2020,2,R,전통시장,1001333,중화제일시장,16,143,28,,,,16,149,6,,,,,50,143519028
2020,1,R,전통시장,1001333,중화제일시장,16,143,28,,,,16,149,6,,,,,50,143519028
2020,2,R,전통시장,1001332,사가정시장,11,82,61,,,,13,67,55,8,,,,53,163307651
2020,1,R,전통시장,1001332,사가정시장,11,82,61,,,,13,67,55,8,,,,53,163307651
2020,2,R,전통시장,1001331,면목골목시장,15,17,73,,,,9,59,22,,,,,73,148010317
2020,1,R,전통시장,1001331,면목골목시장,15,17,73,,,,9,59,22,,,,,73,148010317
2020,2,R,전통시장,1001330,동원시장,21,160,19,,,,20,153,6,,,,,51,142400772
2020,1,R,전통시장,1001330,동원시장,21,160,19,,,,20,153,6,,,,,51,142400772
2020,2,R,전통시장,1001329,동부골목시장,20,169,8,,,,49,121,7,,,,,37,131474045
2020,1,R,전통시장,1001329,동부골목시장,20,169,8,,,,49,121,7,,,,,37,131474045
2020,2,R,전통시장,1001328,이문제일시장,1,2,4,,,,,,6,,,,,68,215833333
2020,1,R,전통시장,1001328,이문제일시장,1,2,4,,,,,,6,,,,,68,215833333
2020,2,R,전통시장,1001327,이경시장,2,17,5,,,,,15,6,1,,,,63,202500000
2020,1,R,전통시장,1001327,이경시장,2,17,5,,,,,15,6,1,,,,63,202500000
2020,2,R,전통시장,1001326,회기시장,6,352,4,1,,,54,286,16,1,,,,39,132069521
2020,1,R,전통시장,1001326,회기시장,6,352,4,1,,,54,286,16,1,,,,39,132069521
2020,2,R,전통시장,1001324,전곡시장,4,25,7,,,,,21,11,,,,,62,201350000
2020,1,R,전통시장,1001324,전곡시장,4,25,7,,,,,21,11,,,,,62,201350000
2020,2,R,전통시장,1001323,답십리시장,2,8,5,,,,2,11,,,,,,59,139476190
2020,1,R,전통시장,1001323,답십리시장,2,8,5,,,,2,11,,,,,,59,139476190
2020,2,R,전통시장,1001317,청량리농수산물시장,2,40,,,,,,20,20,,,,,56,201325000
2020,1,R,전통시장,1001317,청량리농수산물시장,2,40,,,,,,20,20,,,,,56,201325000
2020,2,R,전통시장,1001316,서울약령시장,3,31,1,,,,3,26,3,,,,,41,146845455
2020,1,R,전통시장,1001316,서울약령시장,3,31,1,,,,3,26,3,,,,,41,146845455
2020,2,R,전통시장,1001313,청량리수산시장,1,66,,,,,,56,10,,,,,39,176000000
2020,1,R,전통시장,1001313,청량리수산시장,1,66,,,,,,56,10,,,,,39,176000000
2020,2,R,전통시장,1001310,구의시장,3,26,,,,,2,6,18,,,,,43,201400000
2020,1,R,전통시장,1001310,구의시장,3,26,,,,,2,6,18,,,,,43,201400000
2020,2,R,전통시장,1001309,조양시장,3,37,,,,,30,6,1,,,,,19,93491841
2020,1,R,전통시장,1001309,조양시장,3,37,,,,,30,6,1,,,,,19,93491841
2020,2,R,전통시장,1001308,영동교골목시장,9,49,16,,,,4,18,41,2,,,,56,209838921
2020,1,R,전통시장,1001308,영동교골목시장,9,49,16,,,,4,18,41,2,,,,56,209838921
2020,2,R,전통시장,1001306,노룬산골목시장,1,2,,,,,,2,,,,,,24,108000000
2020,1,R,전통시장,1001306,노룬산골목시장,1,2,,,,,,2,,,,,,24,108000000
2020,2,R,전통시장,1001305,자양종합시장,1,8,2,,,,,,10,,,,,63,256300000
2020,1,R,전통시장,1001305,자양종합시장,1,8,2,,,,,,10,,,,,63,256300000
2020,2,R,전통시장,1001304,자양골목시장,35,241,42,3,,,16,166,100,4,,,,48,183757675
2020,1,R,전통시장,1001304,자양골목시장,35,241,42,3,,,16,166,100,4,,,,48,183757675
2020,2,R,전통시장,1001303,신성골목시장,1,10,,,,,,10,,,,,,55,108000000
2020,1,R,전통시장,1001303,신성골목시장,1,10,,,,,,10,,,,,,55,108000000
2020,2,R,전통시장,1001302,면곡골목시장,4,35,15,3,,,21,23,9,,,,,48,148435714
2020,1,R,전통시장,1001302,면곡골목시장,4,35,15,3,,,21,23,9,,,,,48,148435714
